NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF,bairro,região
TIA ROSINHA CENTRO DE CONVIVENCIA INFANTIL,4,BOSQUE DOS EUCALIPTOS,28.0,BOSQUE DOS EUCALIPTOS,Sul
TURMINHA DO PIU PIU BERCARIO HOTELZINHO,4,JARDIM SATELITE,58.0,JARDIM SATELITE,Sul
VO MARIA FELIX CECOI,4,JARDIM IMPERIAL,190.0,JARDIM IMPERIAL,Sul
ANALIA FRANCO CECOI,4,CENTRO,43.0,CENTRO,Centro
CASEPAFE CECOI,4,JARDIM SANTA HERMINIA,98.0,,Leste
MEU SEGUNDO LAR CECOI,4,CONJUNTO RESIDENCIAL GALO BRANCO,137.0,,Leste
PASSO A PASSO ESCOLA DE EDUCACAO INFANTIL,4,CASTANHEIROS,10.0,,Leste
PINTANDO O SETE ESPACO RECREATIVO INFANTIL,4,CENTRO,19.0,CENTRO,Centro
CANTINHO DA CRIANCA ESCOLA DE EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,51.0,JARDIM DAS INDUSTRIAS,Oeste
NORMA LUCIA RODRIGUES DE ALMEIDA PROFA EMEI,3,JARDIM DAS FLORES,128.0,,Leste
FATIMA APARECIDA BERTHOUD EMEI,3,EUGENIO DE MELLO,67.0,,Leste
