NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF
HELENA VAZ DE LIMA SOLIVA PROFA EMEI,3,JARDIM SAO DIMAS,239.0
CONSTRUINDO O FUTURO CENTRO EDUCACIONAL,4,VILA INDUSTRIAL,20.0
PRIMEIROS PASSOS ESCOLA DE EDUCACAO INFANTIL,4,BOSQUE DOS EUCALIPTOS,3.0
PRIMEIROS PASSOS ESCOLA DE EDUCACAO INFANTIL,4,CIDADE MORUMBI,7.0
ELEMENTAR INSTITUTO EDUCACIONAL,4,JARDIM SATELITE,14.0
EDUCA BABY E KIDS ESCOLA DE EDUCACAO INFANTIL,4,SANTANA,50.0
PRESBITERIANA ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL,4,JARDIM SAO VICENTE,11.0
QUERUBIM ESCOLA BERCARIO E EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,40.0
NOSSA ESCOLA,4,CENTRO,16.0
NOSSA SENHORA APARECIDA CECOI,4,CENTRO,179.0
TIA ROSINHA CENTRO DE CONVIVENCIA INFANTIL,4,BOSQUE DOS EUCALIPTOS,28.0
TURMINHA DO PIU PIU BERCARIO HOTELZINHO,4,JARDIM SATELITE,58.0
VO MARIA FELIX CECOI,4,JARDIM IMPERIAL,190.0
ANALIA FRANCO CECOI,4,CENTRO,43.0
CASEPAFE CECOI,4,JARDIM SANTA HERMINIA,98.0
MEU SEGUNDO LAR CECOI,4,CONJUNTO RESIDENCIAL GALO BRANCO,137.0
PASSO A PASSO ESCOLA DE EDUCACAO INFANTIL,4,CASTANHEIROS,10.0
PINTANDO O SETE ESPACO RECREATIVO INFANTIL,4,CENTRO,19.0
CANTINHO DA CRIANCA ESCOLA DE EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,51.0
NORMA LUCIA RODRIGUES DE ALMEIDA PROFA EMEI,3,JARDIM DAS FLORES,128.0
FATIMA APARECIDA BERTHOUD EMEI,3,EUGENIO DE MELLO,67.0
